name	group	Math	English	Physics	Chemistry	Politics	Biology	Geography	History	Running	Jumping	Swimming	Basketball	Football	Badminton	Table Tennis
name1	group1	0	0.194750985	0.120892137	0.00013536	0.048415468	0.010573989	0.113522027	0.019519495	0.484531955	0.482812041	0.788088153	0.510814932	0.591114296	0.010573989	0.113522027
name2	group1	0.00239217	2.37E-05	8.03E-08	9.49E-14	0.368627504	0.028442652	0.027978489	3.75E-10	0.000658022	0.001696744	0.316401596	0.000739454	5.32E-05	0.028442652	0.027978489
name3	group1	0.902992091	0.159100125	0.055425623	0.680401666	0.634561501	0.787972396	0.313012155	0.548715063	0.040176073	0.872397195	0.054362935	4.67E-15	0.008650743	0.787972396	0.313012155
name4	group1	0.12020873	0.076742746	0.000849197	0.351631118	0.076752397	0.000106407	0.368578736	0.000652749	0.007810874	0.356419582	0.06514125	8.02E-06	0.72978249	0.000106407	0.368578736
name5	group1	0.183893515	0.527409592	0.02072097	0.01332481	0.001094474	0.904811773	0.280743169	0.005409713	1.31E-05	0.557784235	0.037984384	0.123165646	0.372802096	0.904811773	0.280743169
name6	group1	0.90938906	0.981217506	0.741318075	0.850480227	0.522578828	0.581138602	0.095045233	0.433184281	0.688313849	0.904650801	0.928083601	0.338670197	0.798506343	0.581138602	0.095045233
name7	group1	0.014743327	0.119827457	0.033252587	0.093084529	0.194010405	0.233505806	0.098336652	0.640738867	0.233377515	0.074825749	0.157838202	0.947745696	0.653962803	0.233505806	0.098336652
name8	group1	0.540608635	0.389638053	0.371233206	0.478309214	0.521523104	0.852304333	0.120533998	0.833436365	0.015595778	0.401016847	0.275017089	0.004683757	0.010714576	0.852304333	0.120533998
name9	group1	0.000101135	0.004087528	0.234877274	0.935115373	0.003870824	0.135432881	0.555778098	0.012207352	0.288331092	0.027457408	0.23787768	0.777600115	0.97497569	0.135432881	0.555778098
name10	group2	0.134243187	0.863806853	0.446749748	0.021193281	0.121327285	2.84E-05	0.639973828	0.46096504	0.008371812	0.189526739	0.008332581	0.555406906	0.270380826	2.84E-05	0.639973828
name11	group2	0.011032848	0.995231348	0.978532202	0.425179856	0.01709678	0.585976603	0.34595195	0.28000468	0.223928465	0.165204745	0.104653523	0.20365135	0.368027167	0.585976603	0.34595195
name12	group2	0	0.194750985	0.120892137	0.00013536	0.048415468	0.010573989	0.113522027	0.019519495	0.484531955	0.482812041	0.788088153	0.510814932	0.591114296	0.010573989	0.113522027
name13	group2	0.00239217	2.37E-05	8.03E-08	9.49E-14	0.368627504	0.028442652	0.027978489	3.75E-10	0.000658022	0.001696744	0.316401596	0.000739454	5.32E-05	0.028442652	0.027978489
name14	group2	0.902992091	0.159100125	0.055425623	0.680401666	0.634561501	0.787972396	0.313012155	0.548715063	0.040176073	0.872397195	0.054362935	4.67E-15	0.008650743	0.787972396	0.313012155
name15	group2	0.12020873	0.076742746	0.000849197	0.351631118	0.076752397	0.000106407	0.368578736	0.000652749	0.007810874	0.356419582	0.06514125	8.02E-06	0.72978249	0.000106407	0.368578736
name16	group2	0.183893515	0.527409592	0.02072097	0.01332481	0.001094474	0.904811773	0.280743169	0.005409713	1.31E-05	0.557784235	0.037984384	0.123165646	0.372802096	0.904811773	0.280743169
name17	group2	0.90938906	0.981217506	0.741318075	0.850480227	0.522578828	0.581138602	0.095045233	0.433184281	0.688313849	0.904650801	0.928083601	0.338670197	0.798506343	0.581138602	0.095045233
name18	group2	0.014743327	0.119827457	0.033252587	0.093084529	0.194010405	0.233505806	0.098336652	0.640738867	0.233377515	0.074825749	0.157838202	0.947745696	0.653962803	0.233505806	0.098336652
name19	group2	0.540608635	0.389638053	0.371233206	0.478309214	0.521523104	0.852304333	0.120533998	0.833436365	0.015595778	0.401016847	0.275017089	0.004683757	0.010714576	0.852304333	0.120533998
