group	x	y	upper	lower
1	32.79	102.14565476552461	111.16336762570648	93.12794190534274
1	43.82	107.96351525017499	114.9523583778281	100.97467212252188
1	57.63	115.24770865842719	120.15833762456637	110.337079692288
1	62.72	117.9324692991226	122.34462371111209	113.52031488713311
1	74.05	123.90856714962928	128.12310753032924	119.6940267689293
1	76.78	125.34852717892171	129.72278227708512	120.97427208075831
1	85.91	130.16421767981547	135.52614412632013	124.8022912333108
1	86.06	130.2433363627436	135.6259831146236	124.86068961086362
1	89.86	132.24767633025687	138.18989172375547	126.30546093675827
1	90.43	132.54832732538387	138.57959216182653	126.51706248894122
2	22.43	129.0268422909414	138.63507783257202	119.41860674931078
2	25.77	126.8807462157423	135.99019908369362	117.77129334779099
2	76.4	94.34875690815831	98.63442803536569	90.06308578095093
2	77.73	93.4941737404892	97.80864193636697	89.17970554461144
2	83.7	89.65818764200458	94.23562248221201	85.08075280179715
2	88.05	86.86312239436504	91.75394830832444	81.97229648040563
2	88.64	86.4840215906622	91.42412965096644	81.54391353035795
2	89.85	85.70654367120385	90.75229260778215	80.66079473462554
2	90.3	85.41739899041355	90.50394305775212	80.33085492307497
2	94.7	82.59020655601951	88.1142611636079	77.06615194843111
3	31.27	31.646147968333576	42.259156771458976	21.033139165208173
3	47.21	35.36659740768608	41.9918608782654	28.74133393710676
3	47.27	35.38060160883797	41.9929116250285	28.76829159264744
3	57.16	37.68896076537475	42.62910080846363	32.74882072228587
3	70.76	40.86324635980349	46.04835324230409	35.67813947730289
3	73.79	41.57045851797401	47.229003128945166	35.911913907002855
3	73.87	41.589130786176526	47.261634013874946	35.916627558478105
3	74.97	41.8458744739612	47.71699716929818	35.974751778624224
3	76.03	42.09328202764462	48.166803164400704	36.019760890888534
3	77.24	42.375700084207764	48.692112583027296	36.05928758538823
4	11.89	69.32187175724279	77.30032062128562	61.34342289319995
4	18.88	66.90062121318259	73.97209510069428	59.829147325670895
4	21.45	66.01040463260537	72.76509912196305	59.255710143247704
4	44.83	57.91185846377455	62.55464442072595	53.26907250682315
4	46.55	57.316071491559455	61.88850208691896	52.74364089619995
4	58.54	53.16288207478094	57.70837153919273	48.617392610369144
4	70.28	49.09628960163835	54.355964052943825	43.83661515033287
4	76.93	46.79281090092299	52.69284145640021	40.892780345445765
4	86.0	43.651073785811974	50.59831365764609	36.70383391397786
4	94.04	40.86611607848092	48.85152222023501	32.88070993672683
